Vasco Martins de Resende;4;Resende;Área geográfica
Fernand' Esquio;3;Mosteiro de San Martín de Xubia;Monumento
Fernand' Esquio;3;Terras do Neda;Área geográfica
Golparro;3;Tui;Área geográfica
Fernan do Lago;3;Rubiáns;Área geográfica
Fernan Fernandez Cogominho;3;Chaves;Área geográfica
Fernan Fernandez Cogominho;3;Coimbra;Área geográfica
Fernan Figueira;3;Lemos;Área geográfica
Pedro de Portugal, Conde de Barcelos;4;Mosteiro de São João de Tarouca (Viseu);Monumento
Pedro de Portugal, Conde de Barcelos;4;Lalim;Área geográfica
Estevan da Guarda;4;Guarda;Área geográfica
Estevan Reimondo;3;Porto Carreiro;Área geográfica
Afonso Sanchez;4;Convento de Santa Clara de Vila do Conde;Monumento
Estevan Coelho;4;Riba Homem;Área geográfica
Garcia Mendiz d' Eixo;1;Toroño;Área geográfica
Garcia Mendiz d' Eixo;1;Eixo;Área geográfica
Pedro Rodriguez da Palmeira;1;Paço de Vila Nova de ???;
Gonçalo Garcia;1;????;
Juião Bolseiro;;San Miguel dos Agros;Monumento
Osoir'Anes;1;Santiago de Compostela;Área geográfica
Osoir'Anes;1;Ribadavia;Área geográfica
Fernan Paez de Talamancos;2;Tamallancos;Área geográfica
Fernan Paez de Talamancos;2;Búbal;Área geográfica
Fernan Paez de Talamancos;2;Cangas do Morrazo;Área geográfica
Fernan Paez de Talamancos;2;Mosteiro de Dormeá (Boimorto);Monumento
Pedr' Eanes Solaz ;3;Meis;Área geográfica
Lopo Lias;3;Castelo de Orzellon;Monumento
Lopo Lias;3;Santiago de Compostela;Área geográfica
Airas Moniz;2;Asma;Área geográfica
Diego Moniz;2;Asma;Área geográfica
Nuno Trez;3;San Clemenço;Monumento
Pai da Cana;3;Santiago de Compostela;Área geográfica
Nun´Eanes Cêrzeo;3;Cercio (Lalín);Área geográfica
Nun´Eanes Cêrzeo;3;Búbal;Área geográfica
Nuno (Monio) Fernandez de Mirapeixe;2;Rábade (Lugo);Área geográfica
Nuno (Monio) Fernandez de Mirapeixe;2;Vilar das Donas;Monumento
Bernal de Bonaval;2;Toroño;Área geográfica
Afonso Soarez Sarraça;2;Mosteiro de Santa María de Aciveiro;Monumento
Afonso Soarez Sarraça;2;Cercedo de Montes;Área geográfica
Afonso Soarez Sarraça;2;Oseira;Monumento
Pero Velho de Taveirós;2;Tabeirós;Área geográfica
Rodrigu' Eanes d' Alvares;3;Dálvares;Área geográfica
Rodrigu' Eanes d' Alvares;3;Mosteiro de Santa Maria de Salzedas;Monumento
Rodrigu' Eanes de Vasconcelos;3;Santa Maria de Ferreiros (Entre Homem e Cávado);Monumento
Rodrigu' Eanes de Vasconcelos;3;Torre de Vasconcelos;Monumento
Rodrigu'Eanes Redondo;3;Barcelos;Área geográfica
Roi Gomez de Briteiros;;Briteiros;Área geográfica
Roi Gomez de Briteiros;;Braga;Área geográfica
Men Rodriguez de Briteiros;3;Briteiros;Área geográfica
;3;Briteiros;Área geográfica
Pero Garcia d' Ambroa;2;San Tirso de Ambroa;Área geográfica
Pero d'Armea;3;Armea (Betanzos);Área geográfica
Pero de Bardia (Berdia);3;Verdia (Santiago de Compostela);Área geográfica
Pero d'Ornelas;3;Amares;Área geográfica
Pero d'Ornelas;3;Dornelas;Área geográfica
Pero de Veer;3;San Vicente de Ver (Terra de Lemos);Área geográfica
Meendinho;3;Sa Simón (Vigo);Área geográfica
Johan Airas;3;Santiago de Compostela;Área geográfica
Airas Paez;3;Santa Maria de Reça;Monumento
Airas Perez Vuitoron;3;Terras do Deza;Área geográfica
Airas Perez Vuitoron;3;San Pedro de Vila Nova de Dozón;Monumento
Airas Perez Vuitoron;3;Mosteiro de Acebeiro;Monumento
Johan Velaz;1;Santiago de Compostela;Área geográfica
Johan Velaz;1;Mosteiro de Samos;Monumento
Johan Velaz;1;Mosteiro de Meira;Monumento
Johan Velaz;1;Castro de Rei;Monumento
Johan Velaz;1;Mosteiro de San Tirso;Monumento
Johan Velaz;1;Oza;Área geográfica
Johan Velaz;1;Vioño;Área geográfica
Osoiro Eanes;2;Santiago de Compostela;Área geográfica
Osoiro Eanes;2;Castela (río Avia - río Barbantiño);Área geográfica
Osoiro Eanes;2;Mosteiro de Bóveda;Monumento
Osoiro Eanes;2;San Martiño de Cornozes;Monumento
Osoiro Eanes;2;Mosteiro de San Martiño Pinario;Monumento
Osoiro Eanes;2;Castelo de Búval;Monumento
Osoiro Eanes;2;Santa Comba de Trevoedo,Maside;Área geográfica
Osoiro Eanes;2;Igrexa de Santa María de Alón (Santa Comba);Monumento
Airas Oares;1;Mosteiro de Oseira;Monumento
Airas Oares;1;Mosteiro de Sobrado;Monumento
Pero Pais Bazaco;1;Mosteiro de Oseira;Monumento
Pero Pais Bazaco;1;Vilanova de Dozón;Monumento
