Fernand' Esquio;3;Mosteiro de San Martín de Xubia;Monumento
Fernand' Esquio;3;Terras do Neda;Área xeográfica
Golparro;3;Tui;Área xeográfica
Fernan do Lago;3;Rubiáns;Área xeográfica
Fernan Fernandez Cogominho;3;Chaves;Área xeográfica
Fernan Fernandez Cogominho;3;Coimbra;Área xeográfica
Fernan Figueira;3;Lemos;Área xeográfica
Pedro de Portugal, Conde de Barcelos;4;Mosteiro de São João de Tarouca (Viseu);Monumento
Pedro de Portugal, Conde de Barcelos;4;Lalim;Área xeográfica
Estevan da Guarda;4;Guarda;Área xeográfica
Estevan Reimondo;3;Porto Carreiro;Área xeográfica
Afonso Sanchez;4;Convento de Santa Clara de Vila do Conde;Monumento
Estevan Coelho;4;Riba Homem;Área xeográfica
Garcia Mendiz d' Eixo;1;Toroño;Área xeográfica
Garcia Mendiz d' Eixo;1;Eixo;Área xeográfica
Pero Rodriguez da Palmeira;1;Paço de Vila Nova de Famalicão;Monumento
Pero Rodriguez da Palmeira;1;Mosteiro de Landim;Monumento
Pero Rodriguez da Palmeira;1;Igrexa de São Miguel de Guimarães;Monumento
Pero Rodriguez da Palmeira;1;Palmeira;Área xeográfica
Pero Rodriguez da Palmeira;1;Pereira;Área xeográfica
Gonçalo Garcia;2;Toroño;Área xeográfica
Gonçalo Garcia;2;Eixo;Área xeográfica
Gonçalo Garcia;2;Terras de Sousa;Área xeográfica
Juião Bolseiro;;San Miguel dos Agros;Monumento
Osoir'Anes;1;Santiago de Compostela;Área xeográfica
Osoir'Anes;1;Ribadavia;Área xeográfica
Osoir'Anes;1;Santiago de Compostela;Área xeográfica
Osoir'Anes;1;Castela (río Avia - río Barbantiño);Área xeográfica
Osoir'Anes;1;Mosteiro de Bóveda;Monumento
Osoir'Anes;1;San Martiño de Cornozes;Monumento
Osoir'Anes;1;Mosteiro de San Martiño Pinario;Monumento
Osoir'Anes;1;Castelo de Búbal;Monumento
Osoir'Anes;1;Santa Comba de Trevoedo,
Osoir'Anes;1;Igrexa de Santa María de Alón (Santa Comba);Monumento
Fernan Paez de Talamancos;2;Tamallancos;Área xeográfica
Fernan Paez de Talamancos;2;Búbal;Área xeográfica
Fernan Paez de Talamancos;2;Cangas do Morrazo;Área xeográfica
Fernan Paez de Talamancos;2;Mosteiro de Dormeá (Boimorto);Monumento
Pedr' Eanes Solaz ;3;Meis;Área xeográfica
Lopo Lias;3;Castelo de Orzellon;Monumento
Lopo Lias;3;Santiago de Compostela;Área xeográfica
Airas Moniz;2;Asma;Área xeográfica
Diego Moniz;2;Asma;Área xeográfica
Nuno Trez;3;San Clemenço;Monumento
Pai da Cana;3;Santiago de Compostela;Área xeográfica
Nun´Eanes Cêrzeo;3;Cercio (Lalín);Área xeográfica
Nun´Eanes Cêrzeo;3;Búbal;Área xeográfica
Nuno (Monio) Fernandez de Mirapeixe;2;Rábade (Lugo);Área xeográfica
Nuno (Monio) Fernandez de Mirapeixe;2;Vilar das Donas;Monumento
Bernal de Bonaval;2;Toroño;Área xeográfica
Afonso Soarez Sarraça;2;Mosteiro de Santa María de Aciveiro;Monumento
Afonso Soarez Sarraça;2;Cercedo de Montes;Área xeográfica
Afonso Soarez Sarraça;2;Oseira;predio
Pero Velho de Taveirós;2;Tabeirós;Área xeográfica
Rodrigu' Eanes d' Alvares;3;Dálvares;Área xeográfica
Rodrigu' Eanes d' Alvares;3;Mosteiro de Santa Maria de Salzedas;Monumento
Rodrigu' Eanes de Vasconcelos;3;Santa Maria de Ferreiros (Entre Homem e Cávado);Monumento
Rodrigu' Eanes de Vasconcelos;3;Torre de Vasconcelos;Monumento
Rodrigu'Eanes Redondo;3;Barcelos;Área xeográfica
Roi Gomez de Briteiros;;Briteiros;Área xeográfica
Roi Gomez de Briteiros;;Braga;Área xeográfica
Men Rodriguez de Briteiros;3;Briteiros;Área xeográfica
Johan Mendiz de Briteiros;3;Briteiros;Área xeográfica
Pero Garcia d' Ambroa;2;San Tirso de Ambroa;Área xeográfica
Pero d'Armea;3;Armea (Betanzos);Área xeográfica
Pero de Bardia (Berdia);3;Verdia (Santiago de Compostela);Área xeográfica
Pero d'Ornelas;3;Amares;Área xeográfica
Pero d'Ornelas;3;Dornelas;Área xeográfica
Pero de Veer;3;San Vicente de Ver (Terra de Lemos);Área xeográfica
Meendinho;3;Sa Simón (Vigo);Área xeográfica
Johan Airas;3;Santiago de Compostela;Área xeográfica
Airas Paez;3;Santa Maria de Reça;Monumento
Airas Perez Vuitoron;3;Terras do Deza;Área xeográfica
Airas Perez Vuitoron;3;San Pedro de Vila Nova de Dozón;predio
Airas Perez Vuitoron;3;Mosteiro de Acebeiro;Monumento
Johan Velaz;1;Santiago de Compostela;Área xeográfica
Johan Velaz;1;Mosteiro de Samos;Monumento
Johan Velaz;1;Mosteiro de Meira;Monumento
Johan Velaz;1;Castro de Rei;Monumento
Johan Velaz;1;Mosteiro de San Tirso;Monumento
Johan Velaz;1;Oza;Área xeográfica
Johan Velaz;1;Vioño;Área xeográfica
Airas Oares;1;Mosteiro de Oseira;Monumento
Airas Oares;1;Mosteiro de Sobrado;Monumento
Pero Pais Bazaco;1;Mosteiro de Oseira;Monumento
Pero Pais Bazaco;1;Vilanova de Dozón;Monumento
